2023-11-01 00:52:03 startup archives unpack
2023-11-01 00:52:21 install libbsd0:amd64 <none> 0.11.7-2
2023-11-01 00:52:21 status half-installed libbsd0:amd64 0.11.7-2
2023-11-01 00:52:21 status unpacked libbsd0:amd64 0.11.7-2
2023-11-01 00:52:22 install libedit2:amd64 <none> 3.1-20221030-2
2023-11-01 00:52:22 status half-installed libedit2:amd64 3.1-20221030-2
2023-11-01 00:52:22 status unpacked libedit2:amd64 3.1-20221030-2
2023-11-01 00:52:22 install libcbor0.8:amd64 <none> 0.8.0-2+b1
2023-11-01 00:52:22 status half-installed libcbor0.8:amd64 0.8.0-2+b1
2023-11-01 00:52:22 status unpacked libcbor0.8:amd64 0.8.0-2+b1
2023-11-01 00:52:22 install libfido2-1:amd64 <none> 1.12.0-2+b1
2023-11-01 00:52:22 status half-installed libfido2-1:amd64 1.12.0-2+b1
2023-11-01 00:52:22 status unpacked libfido2-1:amd64 1.12.0-2+b1
2023-11-01 00:52:22 install openssh-client:amd64 <none> 1:9.2p1-2+deb12u1
2023-11-01 00:52:22 status half-installed openssh-client:amd64 1:9.2p1-2+deb12u1
2023-11-01 00:52:22 status unpacked openssh-client:amd64 1:9.2p1-2+deb12u1
2023-11-01 00:52:22 install ucf:all <none> 3.0043+nmu1
2023-11-01 00:52:22 status half-installed ucf:all 3.0043+nmu1
2023-11-01 00:52:22 status unpacked ucf:all 3.0043+nmu1
2023-11-01 00:52:22 install libcurl3-gnutls:amd64 <none> 7.88.1-10+deb12u4
2023-11-01 00:52:22 status half-installed libcurl3-gnutls:amd64 7.88.1-10+deb12u4
2023-11-01 00:52:22 status unpacked libcurl3-gnutls:amd64 7.88.1-10+deb12u4
2023-11-01 00:52:22 install liberror-perl:all <none> 0.17029-2
2023-11-01 00:52:22 status half-installed liberror-perl:all 0.17029-2
2023-11-01 00:52:22 status unpacked liberror-perl:all 0.17029-2
2023-11-01 00:52:22 install git-man:all <none> 1:2.39.2-1.1
2023-11-01 00:52:22 status half-installed git-man:all 1:2.39.2-1.1
2023-11-01 00:52:22 status unpacked git-man:all 1:2.39.2-1.1
2023-11-01 00:52:22 install git:amd64 <none> 1:2.39.2-1.1
2023-11-01 00:52:22 status half-installed git:amd64 1:2.39.2-1.1
2023-11-01 00:52:22 status unpacked git:amd64 1:2.39.2-1.1
2023-11-01 00:52:22 install libapr1:amd64 <none> 1.7.2-3
2023-11-01 00:52:22 status half-installed libapr1:amd64 1.7.2-3
2023-11-01 00:52:22 status unpacked libapr1:amd64 1.7.2-3
2023-11-01 00:52:23 install libaprutil1:amd64 <none> 1.6.3-1
2023-11-01 00:52:23 status half-installed libaprutil1:amd64 1.6.3-1
2023-11-01 00:52:23 status unpacked libaprutil1:amd64 1.6.3-1
2023-11-01 00:52:23 install libserf-1-1:amd64 <none> 1.3.9-11
2023-11-01 00:52:23 status half-installed libserf-1-1:amd64 1.3.9-11
2023-11-01 00:52:23 status unpacked libserf-1-1:amd64 1.3.9-11
2023-11-01 00:52:23 install libutf8proc2:amd64 <none> 2.8.0-1
2023-11-01 00:52:23 status half-installed libutf8proc2:amd64 2.8.0-1
2023-11-01 00:52:23 status unpacked libutf8proc2:amd64 2.8.0-1
2023-11-01 00:52:23 install libsvn1:amd64 <none> 1.14.2-4+b2
2023-11-01 00:52:23 status half-installed libsvn1:amd64 1.14.2-4+b2
2023-11-01 00:52:23 status unpacked libsvn1:amd64 1.14.2-4+b2
2023-11-01 00:52:23 install mercurial-common:all <none> 6.3.2-1
2023-11-01 00:52:23 status half-installed mercurial-common:all 6.3.2-1
2023-11-01 00:52:23 status unpacked mercurial-common:all 6.3.2-1
2023-11-01 00:52:23 install mercurial:amd64 <none> 6.3.2-1
2023-11-01 00:52:23 status half-installed mercurial:amd64 6.3.2-1
2023-11-01 00:52:23 status unpacked mercurial:amd64 6.3.2-1
2023-11-01 00:52:23 install subversion:amd64 <none> 1.14.2-4+b2
2023-11-01 00:52:23 status half-installed subversion:amd64 1.14.2-4+b2
2023-11-01 00:52:23 status unpacked subversion:amd64 1.14.2-4+b2
2023-11-01 00:52:23 startup packages configure
2023-11-01 00:52:23 configure media-types:all 10.0.0 <none>
2023-11-01 00:52:23 status unpacked media-types:all 10.0.0
2023-11-01 00:52:23 status half-configured media-types:all 10.0.0
2023-11-01 00:52:23 status installed media-types:all 10.0.0
2023-11-01 00:52:23 configure libtirpc-common:all 1.3.3+ds-1 <none>
2023-11-01 00:52:23 status unpacked libtirpc-common:all 1.3.3+ds-1
2023-11-01 00:52:23 status half-configured libtirpc-common:all 1.3.3+ds-1
2023-11-01 00:52:23 status installed libtirpc-common:all 1.3.3+ds-1
2023-11-01 00:52:23 configure libcbor0.8:amd64 0.8.0-2+b1 <none>
2023-11-01 00:52:23 status unpacked libcbor0.8:amd64 0.8.0-2+b1
2023-11-01 00:52:23 status half-configured libcbor0.8:amd64 0.8.0-2+b1
2023-11-01 00:52:23 status installed libcbor0.8:amd64 0.8.0-2+b1
2023-11-01 00:52:23 configure libutf8proc2:amd64 2.8.0-1 <none>
2023-11-01 00:52:23 status unpacked libutf8proc2:amd64 2.8.0-1
2023-11-01 00:52:23 status half-configured libutf8proc2:amd64 2.8.0-1
2023-11-01 00:52:23 status installed libutf8proc2:amd64 2.8.0-1
2023-11-01 00:52:23 configure libapr1:amd64 1.7.2-3 <none>
2023-11-01 00:52:23 status unpacked libapr1:amd64 1.7.2-3
2023-11-01 00:52:23 status half-configured libapr1:amd64 1.7.2-3
2023-11-01 00:52:23 status installed libapr1:amd64 1.7.2-3
2023-11-01 00:52:23 configure libcurl3-gnutls:amd64 7.88.1-10+deb12u4 <none>
2023-11-01 00:52:23 status unpacked libcurl3-gnutls:amd64 7.88.1-10+deb12u4
2023-11-01 00:52:23 status half-configured libcurl3-gnutls:amd64 7.88.1-10+deb12u4
2023-11-01 00:52:23 status installed libcurl3-gnutls:amd64 7.88.1-10+deb12u4
2023-11-01 00:52:23 configure perl-modules-5.36:all 5.36.0-7 <none>
2023-11-01 00:52:23 status unpacked perl-modules-5.36:all 5.36.0-7
2023-11-01 00:52:23 status half-configured perl-modules-5.36:all 5.36.0-7
2023-11-01 00:52:23 status installed perl-modules-5.36:all 5.36.0-7
2023-11-01 00:52:23 configure libproc2-0:amd64 2:4.0.2-3 <none>
2023-11-01 00:52:23 status unpacked libproc2-0:amd64 2:4.0.2-3
2023-11-01 00:52:23 status half-configured libproc2-0:amd64 2:4.0.2-3
2023-11-01 00:52:23 status installed libproc2-0:amd64 2:4.0.2-3
2023-11-01 00:52:23 configure sensible-utils:all 0.0.17+nmu1 <none>
2023-11-01 00:52:23 status unpacked sensible-utils:all 0.0.17+nmu1
2023-11-01 00:52:23 status half-configured sensible-utils:all 0.0.17+nmu1
2023-11-01 00:52:23 status installed sensible-utils:all 0.0.17+nmu1
2023-11-01 00:52:23 configure procps:amd64 2:4.0.2-3 <none>
2023-11-01 00:52:23 status unpacked procps:amd64 2:4.0.2-3
2023-11-01 00:52:23 status half-configured procps:amd64 2:4.0.2-3
2023-11-01 00:52:23 status installed procps:amd64 2:4.0.2-3
2023-11-01 00:52:23 configure git-man:all 1:2.39.2-1.1 <none>
2023-11-01 00:52:23 status unpacked git-man:all 1:2.39.2-1.1
2023-11-01 00:52:23 status half-configured git-man:all 1:2.39.2-1.1
2023-11-01 00:52:23 status installed git-man:all 1:2.39.2-1.1
2023-11-01 00:52:23 configure libfido2-1:amd64 1.12.0-2+b1 <none>
2023-11-01 00:52:23 status unpacked libfido2-1:amd64 1.12.0-2+b1
2023-11-01 00:52:23 status half-configured libfido2-1:amd64 1.12.0-2+b1
2023-11-01 00:52:23 status installed libfido2-1:amd64 1.12.0-2+b1
2023-11-01 00:52:23 configure libbsd0:amd64 0.11.7-2 <none>
2023-11-01 00:52:23 status unpacked libbsd0:amd64 0.11.7-2
2023-11-01 00:52:23 status half-configured libbsd0:amd64 0.11.7-2
2023-11-01 00:52:23 status installed libbsd0:amd64 0.11.7-2
2023-11-01 00:52:23 configure libgdbm6:amd64 1.23-3 <none>
2023-11-01 00:52:23 status unpacked libgdbm6:amd64 1.23-3
2023-11-01 00:52:23 status half-configured libgdbm6:amd64 1.23-3
2023-11-01 00:52:23 status installed libgdbm6:amd64 1.23-3
2023-11-01 00:52:23 configure libaprutil1:amd64 1.6.3-1 <none>
2023-11-01 00:52:23 status unpacked libaprutil1:amd64 1.6.3-1
2023-11-01 00:52:23 status half-configured libaprutil1:amd64 1.6.3-1
2023-11-01 00:52:23 status installed libaprutil1:amd64 1.6.3-1
2023-11-01 00:52:23 configure libtirpc3:amd64 1.3.3+ds-1 <none>
2023-11-01 00:52:23 status unpacked libtirpc3:amd64 1.3.3+ds-1
2023-11-01 00:52:23 status half-configured libtirpc3:amd64 1.3.3+ds-1
2023-11-01 00:52:23 status installed libtirpc3:amd64 1.3.3+ds-1
2023-11-01 00:52:23 configure libedit2:amd64 3.1-20221030-2 <none>
2023-11-01 00:52:23 status unpacked libedit2:amd64 3.1-20221030-2
2023-11-01 00:52:23 status half-configured libedit2:amd64 3.1-20221030-2
2023-11-01 00:52:23 status installed libedit2:amd64 3.1-20221030-2
2023-11-01 00:52:23 configure libserf-1-1:amd64 1.3.9-11 <none>
2023-11-01 00:52:23 status unpacked libserf-1-1:amd64 1.3.9-11
2023-11-01 00:52:23 status half-configured libserf-1-1:amd64 1.3.9-11
2023-11-01 00:52:23 status installed libserf-1-1:amd64 1.3.9-11
2023-11-01 00:52:23 configure libgdbm-compat4:amd64 1.23-3 <none>
2023-11-01 00:52:23 status unpacked libgdbm-compat4:amd64 1.23-3
2023-11-01 00:52:23 status half-configured libgdbm-compat4:amd64 1.23-3
2023-11-01 00:52:23 status installed libgdbm-compat4:amd64 1.23-3
2023-11-01 00:52:23 configure ucf:all 3.0043+nmu1 <none>
2023-11-01 00:52:23 status unpacked ucf:all 3.0043+nmu1
2023-11-01 00:52:23 status half-configured ucf:all 3.0043+nmu1
2023-11-01 00:52:24 status installed ucf:all 3.0043+nmu1
2023-11-01 00:52:24 configure libnsl2:amd64 1.3.0-2 <none>
2023-11-01 00:52:24 status unpacked libnsl2:amd64 1.3.0-2
2023-11-01 00:52:24 status half-configured libnsl2:amd64 1.3.0-2
2023-11-01 00:52:24 status installed libnsl2:amd64 1.3.0-2
2023-11-01 00:52:24 configure libsvn1:amd64 1.14.2-4+b2 <none>
2023-11-01 00:52:24 status unpacked libsvn1:amd64 1.14.2-4+b2
2023-11-01 00:52:24 status half-configured libsvn1:amd64 1.14.2-4+b2
2023-11-01 00:52:24 status installed libsvn1:amd64 1.14.2-4+b2
2023-11-01 00:52:24 configure libperl5.36:amd64 5.36.0-7 <none>
2023-11-01 00:52:24 status unpacked libperl5.36:amd64 5.36.0-7
2023-11-01 00:52:24 status half-configured libperl5.36:amd64 5.36.0-7
2023-11-01 00:52:24 status installed libperl5.36:amd64 5.36.0-7
2023-11-01 00:52:24 configure openssh-client:amd64 1:9.2p1-2+deb12u1 <none>
2023-11-01 00:52:24 status unpacked openssh-client:amd64 1:9.2p1-2+deb12u1
2023-11-01 00:52:24 status half-configured openssh-client:amd64 1:9.2p1-2+deb12u1
2023-11-01 00:52:24 status installed openssh-client:amd64 1:9.2p1-2+deb12u1
2023-11-01 00:52:24 configure libpython3.11-stdlib:amd64 3.11.2-6 <none>
2023-11-01 00:52:24 status unpacked libpython3.11-stdlib:amd64 3.11.2-6
2023-11-01 00:52:24 status half-configured libpython3.11-stdlib:amd64 3.11.2-6
2023-11-01 00:52:24 status installed libpython3.11-stdlib:amd64 3.11.2-6
2023-11-01 00:52:24 configure subversion:amd64 1.14.2-4+b2 <none>
2023-11-01 00:52:24 status unpacked subversion:amd64 1.14.2-4+b2
2023-11-01 00:52:24 status half-configured subversion:amd64 1.14.2-4+b2
2023-11-01 00:52:24 status installed subversion:amd64 1.14.2-4+b2
2023-11-01 00:52:24 configure perl:amd64 5.36.0-7 <none>
2023-11-01 00:52:24 status unpacked perl:amd64 5.36.0-7
2023-11-01 00:52:24 status half-configured perl:amd64 5.36.0-7
2023-11-01 00:52:24 status installed perl:amd64 5.36.0-7
2023-11-01 00:52:24 configure libpython3-stdlib:amd64 3.11.2-1+b1 <none>
2023-11-01 00:52:24 status unpacked libpython3-stdlib:amd64 3.11.2-1+b1
2023-11-01 00:52:24 status half-configured libpython3-stdlib:amd64 3.11.2-1+b1
2023-11-01 00:52:24 status installed libpython3-stdlib:amd64 3.11.2-1+b1
2023-11-01 00:52:24 configure python3.11:amd64 3.11.2-6 <none>
2023-11-01 00:52:24 status unpacked python3.11:amd64 3.11.2-6
2023-11-01 00:52:24 status half-configured python3.11:amd64 3.11.2-6
2023-11-01 00:52:24 status installed python3.11:amd64 3.11.2-6
2023-11-01 00:52:24 configure python3:amd64 3.11.2-1+b1 <none>
2023-11-01 00:52:24 status unpacked python3:amd64 3.11.2-1+b1
2023-11-01 00:52:24 status half-configured python3:amd64 3.11.2-1+b1
2023-11-01 00:52:24 status installed python3:amd64 3.11.2-1+b1
2023-11-01 00:52:24 configure liberror-perl:all 0.17029-2 <none>
2023-11-01 00:52:24 status unpacked liberror-perl:all 0.17029-2
2023-11-01 00:52:24 status half-configured liberror-perl:all 0.17029-2
2023-11-01 00:52:24 status installed liberror-perl:all 0.17029-2
2023-11-01 00:52:24 configure git:amd64 1:2.39.2-1.1 <none>
2023-11-01 00:52:24 status unpacked git:amd64 1:2.39.2-1.1
2023-11-01 00:52:24 status half-configured git:amd64 1:2.39.2-1.1
2023-11-01 00:52:24 status installed git:amd64 1:2.39.2-1.1
2023-11-01 00:52:24 configure mercurial-common:all 6.3.2-1 <none>
2023-11-01 00:52:24 status unpacked mercurial-common:all 6.3.2-1
2023-11-01 00:52:24 status half-configured mercurial-common:all 6.3.2-1
2023-11-01 00:52:26 status installed mercurial-common:all 6.3.2-1
2023-11-01 00:52:26 configure mercurial:amd64 6.3.2-1 <none>
2023-11-01 00:52:26 status unpacked mercurial:amd64 6.3.2-1
2023-11-01 00:52:26 status half-configured mercurial:amd64 6.3.2-1
2023-11-01 00:52:26 status installed mercurial:amd64 6.3.2-1
2023-11-01 00:52:26 trigproc libc-bin:amd64 2.36-9+deb12u3 <none>
2023-11-01 00:52:26 status half-configured libc-bin:amd64 2.36-9+deb12u3
2023-11-01 00:52:26 status installed libc-bin:amd64 2.36-9+deb12u3
